rodada_id,partida_id,partida_data,clube_casa_id,clube_casa_posicao,aproveitamento_mandante,clube_visitante_id,clube_visitante_posicao,aproveitamento_visitante,valida
15,302625,2023-07-15 21:00:00,263,1,"['v', 'v', 'v', 'v', 'e']",280,6,"['v', 'v', 'v', 'e', 'e']",True
15,306169,2023-07-16 11:00:00,283,9,"['e', 'd', 'v', 'e', 'v']",294,18,"['e', 'd', 'd', 'v', 'v']",True
15,302623,2023-07-16 16:00:00,266,4,"['e', 'e', 'v', 'd', 'v']",262,2,"['v', 'd', 'v', 'v', 'e']",True
15,302627,2023-07-16 16:00:00,276,8,"['d', 'v', 'd', 'v', 'e']",277,13,"['e', 'd', 'd', 'd', 'v']",True
15,302639,2023-07-16 16:00:00,356,7,"['d', 'v', 'v', 'd', 'v']",1371,14,"['e', 'd', 'd', 'v', 'e']",True
15,302635,2023-07-16 18:30:00,285,10,"['v', 'v', 'v', 'e', 'd']",275,5,"['v', 'd', 'd', 'e', 'e']",True
15,302637,2023-07-16 18:30:00,293,11,"['e', 'd', 'v', 'e', 'd']",265,16,"['e', 'v', 'd', 'd', 'e']",True
15,302631,2023-07-17 20:00:00,290,17,"['e', 'v', 'd', 'd', 'd']",282,12,"['e', 'e', 'd', 'e', 'd']",True
15,302629,2023-07-31 21:30:00,264,15,"['e', 'v', 'd', 'd', 'v']",284,3,"['d', 'v', 'v', 'v', 'd']",False
15,302640,2023-07-31 21:30:00,327,20,"['e', 'd', 'd', 'e', 'd']",267,19,"['d', 'd', 'v', 'd', 'd']",False
